RequestID|StartDate|EndDate|AgencyCode|AgencyName|AgencyDivision|TypeOfNoticeCode|TypeOfNoticeDescription|CategoryCode|CategoryDescription|ShortTitle|SelectionMethodCode|SelectionMethodDescription|SectionID|SectionName|SpecialCaseReasonCode|SpecialCaseReasonDescription|PIN|DueDate|AddressToRequest|ContactName|ContactPhone|Email|AddressToSubmit|ContractAmount|RequestedBy|PhoneRequested|ConfirmationNumber|ContactFax|AdditionalDescription|OtherInfo|VendorName|VendorAddress|Printout
20140930019|2014-10-07 00:00:00|2014-10-07 00:00:00|068|Administration for Children's Services|Office of Procurement|2|Award|7|Services (other than human services)|PROCESS SERVER SERVICES|5|Negotiated Acquisition|6|Procurement|2|Judgment required in evaluating proposals|06815N0002001|||||||541201|someuser|5511234567|20140930019||The Administration for Children’s Services (ACS) intends to enter into negotiations with Nationwide Court Services, Inc., for the provision of Process Server services for the service areas of Brooklyn/Staten Island, Bronx and Queens. In accordance with Section 3-04(b)(2) of the Procurement Policy Board Rules, ACS intends to use the negotiated acquisition process to ensure continuity of mandated services. The term of the contract is projected to be for one year, from October 1, 2014 through September 30, 2015. This notice is for informational purposes only. Supplies may express interest in future procurements by contacting Beverly Matthews at ACS, Administration Contract Services, 150 William Street, 9th Floor, New York, NY 10038.||Nationwide Court Services, Inc.|761 Koehler Avenue, Ronkonkoma, NY 11779|PROCESS SERVER SERVICES - Negotiated Acquisition - Judgment required in evaluating proposals - PIN# 06815N0002001 - AMT: $541,201.00 - TO: Nationwide Court Services, Inc., 761 Koehler Avenue, Ronkonkoma, NY 11779.   The Administration for Children’s Services (ACS) intends to enter into negotiations with Nationwide Court Services, Inc., for the provision of Process Server services for the service areas of Brooklyn/Staten Island, Bronx and Queens. In accordance with Section 3-04(b)(2) of the Procurement Policy Board Rules, ACS intends to use the negotiated acquisition process to ensure continuity of mandated services. The term of the contract is projected to be for one year, from October 1, 2014 through September 30, 2015. This notice is for informational purposes only. Supplies may express interest in future procurements by contacting Beverly Matthews at ACS, Administration Contract Services, 150 William Street, 9th Floor, New York, NY 10038.
20141124007|2014-12-02 00:00:00|2014-12-08 00:00:00|068|Administration for Children's Services||4|Intent to Award|6|Human Services/Client Services|A THERAPEUTIC MODEL TARGETED FOR YOUTH INVOLVED IN THE JUVENILE JUSTICE SYSTEM|5|Negotiated Acquisition|6|Procurement|3|Available only from a single source|06810S0001001N001|2014-12-15 16:00:00|150 William Street, 9th Floor, NY, NY 10038|Rafael Asusta|2123413511|rafael.asusta@acs.nyc.gov|150 William Street, 9th Floor, NY, NY 10038||someuser|5511234567|20141124007||The Administration for Children’s Services (ACS) intends to enter into negotiations with New York Foundling Hospital for the continued provision of A therapeutic model targeted for youth involved in the juvenile justice system. In accordance with Section 3-04(b)(2)(iii) of the Procurement Policy Board Rules, ACS intents to use the negotiated acquisition process to extend the subject contract’s term to ensure continuity of mandated services.  The term of the contract is projected to be from February 1, 2015 to July 31, 2017.  This notice is for informational purposes only.  Suppliers may express interest in future procurements by contacting Rafael Asusta at ACS, Child Welfare Services Unit, 150 William Street, 9th Floor, New York, NY 10038.||||A THERAPEUTIC MODEL TARGETED FOR YOUTH INVOLVED IN THE JUVENILE JUSTICE SYSTEM - Negotiated Acquisition - Available only from a single source - PIN# 06810S0001001N001 - Due 12-15-14 at 4:00 P.M.  The Administration for Children’s Services (ACS) intends to enter into negotiations with New York Foundling Hospital for the continued provision of A therapeutic model targeted for youth involved in the juvenile justice system. In accordance with Section 3-04(b)(2)(iii) of the Procurement Policy Board Rules, ACS intents to use the negotiated acquisition process to extend the subject contract’s term to ensure continuity of mandated services.  The term of the contract is projected to be from February 1, 2015 to July 31, 2017.  This notice is for informational purposes only.  Suppliers may express interest in future procurements by contacting Rafael Asusta at ACS, Child Welfare Services Unit, 150 William Street, 9th Floor, New York, NY 10038.
20141118002|2014-11-25 00:00:00|2014-11-25 00:00:00|068|Administration for Children's Services|Administrative Contracts|4|Intent to Award|7|Services (other than human services)|BUILDING MANAGEMENT SERVICES|5|Negotiated Acquisition|6|Procurement|5|Other (Describe below in Other Legally Mandated Information)|06808B0001CNVN001|2014-12-05 15:00:00|150 William Street, Loc.9K5, New York NY  10038|Hazel Harber|2126768611|hazel.harber@acs.nyc.gov|150 William Street, Loc.9K5, New York NY  10038||someuser|5511234567|20141118002|2123419830|Building Management Services contract with Colliers Tri-State Management LLC to be extended for additional period of 12/28/2014-12/27/2015. |This notice is for informational purposes only: In accordance with Section 3-04(b)(2)(iii) of the Procurement Policy Board Rules, ACS intends to use the Negotiated Acquisition process to extend the subject contract`s term to ensure continuity of services.  A competitive bid for these services is anticipated to be released in Spring 2015.  Providers may express interest in future procurements by enrolling for the appropriate commodity at www.nyc.gov/pip.

|||BUILDING MANAGEMENT SERVICES - Negotiated Acquisition - PIN# 06808B0001CNVN001 - Due 12-5-14 at 3:00 P.M.  Building Management Services contract with Colliers Tri-State Management LLC to be extended for additional period of 12/28/2014-12/27/2015.  This notice is for informational purposes only: In accordance with Section 3-04(b)(2)(iii) of the Procurement Policy Board Rules, ACS intends to use the Negotiated Acquisition process to extend the subject contract`s term to ensure continuity of services.  A competitive bid for these services is anticipated to be released in Spring 2015.  Providers may express interest in future procurements by enrolling for the appropriate commodity at www.nyc.gov/pip.  
20141029037|2014-11-06 00:00:00|2014-11-06 00:00:00|068|Administration for Children's Services|Administrative Contracts|4|Intent to Award|7|Services (other than human services)|CHILD CARE VOUCHER PAYMENT SERVICES|5|Negotiated Acquisition|6|Procurement|5|Other (Describe below in Other Legally Mandated Information)|068-15-NEX-0010|2014-11-07 09:00:00|150 William Street, 9K5, New York NY  10038|Hazel Harber|2126768611|hazel.harber@acs.nyc.gov|150 Williams Street 9th Floor New York, New York 10007||someuser|5511234567|20141029037|2123419830|YMS Management Associates, Inc.|In accordance with Section 3-04(b)(2)(iii) of the Procurement Policy Board Rules, ACS intends to use the Negotiated Acquisition process to extend the subject contract`s term to ensure continuity of services.  The term of the contract is projected to be from May, 1, 2015 through April 30, 2016.

Providers may express interest in future procurements by contacting Hazel Harber at ACS Office of Procurement-Administrative Contracts Unit, 150 William Street, Room 9K5, New York 10038; hazel.harber@acs.nyc.gov or by calling 212-676-8811 between the hours of 10:00 AM and 4:00 PM.|||CHILD CARE VOUCHER PAYMENT SERVICES - Negotiated Acquisition - PIN# 068-15-NEX-0010 - Due 11-7-14 at 9:00 A.M.  YMS Management Associates, Inc. In accordance with Section 3-04(b)(2)(iii) of the Procurement Policy Board Rules, ACS intends to use the Negotiated Acquisition process to extend the subject contract`s term to ensure continuity of services.  The term of the contract is projected to be from May, 1, 2015 through April 30, 2016.  Providers may express interest in future procurements by contacting Hazel Harber at ACS Office of Procurement-Administrative Contracts Unit, 150 William Street, Room 9K5, New York 10038; hazel.harber@acs.nyc.gov or by calling 212-676-8811 between the hours of 10:00 AM and 4:00 PM.
20141023007|2014-10-30 00:00:00|2014-10-30 00:00:00|068|Administration for Children's Services|Administrative Contracts|4|Intent to Award|7|Services (other than human services)|CLINICAL CONSULTATION SERVICES|5|Negotiated Acquisition|6|Procurement|5|Other (Describe below in Other Legally Mandated Information)|06807P0001CNVN003|2014-10-31 09:00:00|150 William Street, Loc.9K5, New York NY  10038|Hazel Harber|2126768611|hazel.harber@acs.nyc.gov|150 William Street, Loc.9K5, New York NY  10038||someuser|5511234567|20141023007|2123419830|1) New York Foundling 2) New York Foundling 3) Palladia Inc. 4) The Child Center of New York 5) Jewish Board of Family  and  Childrens` Services|In accordance with Section 3-04(b)(2)(iii) of the Procurement Policy Board Rules, ACS intends to use the Negotiated Acquisition process to extend the above five (5) contracts` terms to ensure continuity of mandated services.  The terms of the contracts are projected to be from June 1, 2014 through May 31, 2015.

Suppliers may express interest in future procurements by contacting Hazel Harber at ACS Administrative Contracts Unit, 150 William Street, Location 9K5,
New York NY 1038; email to hazel.harber@acs.nyc.gov; or by calling (212) 676-8811 between the hours of 10:00AM and 4:00PM.|||CLINICAL CONSULTATION SERVICES - Negotiated Acquisition - Due 10-31-14 at 9:00 A.M.  PIN# 06807P0001CNVN003 - Manhattan PIN# 06807P0005CNVN003 - Staten Island PIN# 06807P0007CNVN003 - Bronx PIN# 06807P0013CNVN004 - Queens PIN# 06807P0003CNVN003 - Brooklyn  1) New York Foundling 2) New York Foundling 3) Palladia Inc. 4) The Child Center of New York 5) Jewish Board of Family  and  Childrens` Services In accordance with Section 3-04(b)(2)(iii) of the Procurement Policy Board Rules, ACS intends to use the Negotiated Acquisition process to extend the above five (5) contracts` terms to ensure continuity of mandated services.  The terms of the contracts are projected to be from June 1, 2014 through May 31, 2015.  Suppliers may express interest in future procurements by contacting Hazel Harber at ACS Administrative Contracts Unit, 150 William Street, Location 9K5, New York NY 1038; email to hazel.harber@acs.nyc.gov; or by calling (212) 676-8811 between the hours of 10:00AM and 4:00PM.
20141119030|2014-11-26 00:00:00|2014-11-26 00:00:00|068|Administration for Children's Services|Administrative Contracts|4|Intent to Award|7|Services (other than human services)|EXPERT WITNESS |5|Negotiated Acquisition|6|Procurement|5|Other (Describe below in Other Legally Mandated Information)|06806N0005CNVN006|2014-12-05 15:00:00|150 William Street, Loc.9K5, New York NY  10038|Hazel Harber|2126768611|hazel.harber@acs.nyc.gov|150 William Street, Loc.9K5, New York NY  10038||someuser|5511234567|20141119030|2123419830|Expert Witness contract regarding abuse  and  neglect cases with G. Christopher Turner, Ph.D. to be extended for additional period of 7/1/2014-6/30/2015. |This notice is for informational purposes only: In accordance with Section 3-04(b)(2)(iii) of the Procurement Policy Board Rules, ACS intends to use the Negotiated Acquisition process to extend the subject contract`s term to ensure continuity of services. Providers may express interest in future procurements by enrolling for the appropriate commodity at www.nyc.gov/pip.

|||EXPERT WITNESS  - Negotiated Acquisition - PIN# 06806N0005CNVN006 - Due 12-5-14 at 3:00 P.M.  Expert Witness contract regarding abuse  and  neglect cases with G. Christopher Turner, Ph.D. to be extended for additional period of 7/1/2014-6/30/2015.  This notice is for informational purposes only: In accordance with Section 3-04(b)(2)(iii) of the Procurement Policy Board Rules, ACS intends to use the Negotiated Acquisition process to extend the subject contract`s term to ensure continuity of services. Providers may express interest in future procurements by enrolling for the appropriate commodity at www.nyc.gov/pip.  
20141119011|2014-11-26 00:00:00|2014-11-26 00:00:00|068|Administration for Children's Services|Office of Procurement|4|Intent to Award|7|Services (other than human services)|COURIER/MESSENGER SERVICES|5|Negotiated Acquisition|6|Procurement|5|Other (Describe below in Other Legally Mandated Information)|06809B0008CNVN002|2014-12-08 15:00:00|150 William Street, 9K4/9th fl., New York, NY 10038|Clifford Sykes|2123413529|clifford.sykes@acs.nyc.gov|150 William Street, 9K4/9th fl., New York, NY 10038||someuser|5511234567|20141119011|2123419830|Courier Messenger Services contract with Deluxe Delivery Service to be extended for an additional period of 4/1/2014 thru 3/31/2015.|In accordance with Section 3-04(b)(2)(iii) of the Procurement Policy Board Rules, ACS intends to  use the Negotiated Acquisition process to extend the subject contract`s term to insure continuity of services. The term of the contract is expected to be from April 1, 2014 through May 31, 2015.

Providers may express interest in future procurements by contacting Clifford Sykes at ACS Office of Procurement-Administrative Contracts, 150 William Street 9K4/9th fl, New York, NY 10038; clifford.sykes@acs.nyc.gov or by calling 212-341-3529 between the hours of 10:00am and 4:00pm.

|||COURIER/MESSENGER SERVICES - Negotiated Acquisition - PIN# 06809B0008CNVN002 - Due 12-8-14 at 3:00 P.M.  Courier Messenger Services contract with Deluxe Delivery Service to be extended for an additional period of 4/1/2014 thru 3/31/2015. In accordance with Section 3-04(b)(2)(iii) of the Procurement Policy Board Rules, ACS intends to  use the Negotiated Acquisition process to extend the subject contract`s term to insure continuity of services. The term of the contract is expected to be from April 1, 2014 through May 31, 2015.  Providers may express interest in future procurements by contacting Clifford Sykes at ACS Office of Procurement-Administrative Contracts, 150 William Street 9K4/9th fl, New York, NY 10038; clifford.sykes@acs.nyc.gov or by calling 212-341-3529 between the hours of 10:00am and 4:00pm.  
20141028032|2014-11-05 00:00:00|2014-11-05 00:00:00|068|Administration for Children's Services|Procurement|4|Intent to Award|6|Human Services/Client Services|NON-SECURE PLACEMENT AFTERCARE SERVICES|5|Negotiated Acquisition|6|Procurement|5|Other (Describe below in Other Legally Mandated Information)|06815N0004|2014-11-06 14:00:00|150 William Street, 9th Floor, New York, NY 10038|Michael Walker|2123413617|michael.walker2@acs.nyc.gov|150 William Street, 9th Floor, New York, NY 10038||someuser|5511234567|20141028032|9175517239|In accordance with Section 3-04(b)(2)(i)(C) of the Procurement Policy Board Rules, ACS intends to use the negotiated acquisition method to procure, Non-Secure Placement Aftercare Services for Youth with Intellectual/Developmental Disabilities because ACS has determined a vendor must be retained quickly to replace an existing provider who has withdrawn from their contract.|This notice is for informational purposes only. In accordance with Section 3-04(b)(4) of the Procurement Policy Board Rules, The Administration for Children’s Services intends to negotiate a contract with SCO Family of Services, for the period 12/1/14 through 6/30/16, with two 3-year options to renew, for Non-Secure Placement Aftercare Services to youth with Intellectual/Developmental Disabilities.|||NON-SECURE PLACEMENT AFTERCARE SERVICES - Negotiated Acquisition - PIN# 06815N0004 - Due 11-6-14 at 2:00 P.M.  In accordance with Section 3-04(b)(2)(i)(C) of the Procurement Policy Board Rules, ACS intends to use the negotiated acquisition method to procure, Non-Secure Placement Aftercare Services for Youth with Intellectual/Developmental Disabilities because ACS has determined a vendor must be retained quickly to replace an existing provider who has withdrawn from their contract. This notice is for informational purposes only. In accordance with Section 3-04(b)(4) of the Procurement Policy Board Rules, The Administration for Children’s Services intends to negotiate a contract with SCO Family of Services, for the period 12/1/14 through 6/30/16, with two 3-year options to renew, for Non-Secure Placement Aftercare Services to youth with Intellectual/Developmental Disabilities.
20141114011|2014-11-14 00:00:00|2014-11-20 00:00:00|068|Administration for Children's Services||1|Solicitation|7|Services (other than human services)|CONSULTING SERVICES FOR JUVENILE JUSTICE SYSTEM READINESS AND REFORM|5|Negotiated Acquisition|6|Procurement|2|Judgment required in evaluating proposals|06814N0001|2014-12-02 15:00:00|150 William Street, Room 9J2, Floor, New York, NY 10038|Beverly G. Matthews|2123413464|beverly.matthews@acs.nyc.gov|150 William Street, Room 9J2, Floor, New York, NY 10038||someuser|5511234567|20141114011|2123419830|ACS is seeking to procure juvenile justice consulting services which will aid senior ACS staff in developing a unifying theory of change for juvenile justice placement, as well as a core training curriculum for ACS and provider agency staff built around skills and competencies that should be universal to all juvenile justice placement work.  ||||CONSULTING SERVICES FOR JUVENILE JUSTICE SYSTEM READINESS AND REFORM - Negotiated Acquisition - Judgment required in evaluating proposals - PIN# 06814N0001 - Due 12-2-14 at 3:00 P.M.  ACS is seeking to procure juvenile justice consulting services which will aid senior ACS staff in developing a unifying theory of change for juvenile justice placement, as well as a core training curriculum for ACS and provider agency staff built around skills and competencies that should be universal to all juvenile justice placement work.  
20141029033|2014-11-06 00:00:00|2014-11-13 00:00:00|068|Administration for Children's Services||1|Solicitation|6|Human Services/Client Services|YOUTH WITH SEVERE EMOTIONAL, DEVELOPMENTAL DISABILITIES|5|Negotiated Acquisition|6|Procurement|2|Judgment required in evaluating proposals|06815N0003|2014-11-24 14:00:00|150 William Street, 9th Floor, New York, NY 10038|Rafael Asusta|2123413511|rafael.asusta@acs.nyc.gov|150 William Street, 9th Floor, New York, NY 10038||someuser|5511234567|20141029033||The Administration for Children Services is seeking appropriately qualified vendors to provide Specialized Residential Care Services to youth with complex diagnoses that present with exceptional and severe emotional, developmental and behavioral disabilities.  The target population includes children with exceptional and severe emotional, developmental and behavioral disabilities.  Male and female youth in this specialized population include one or more of the following:  a. Youth with a history of serious developmental disability, psychiatric problems, multiple psychiatric hospitalizations and/or who require multiple medications; b. Youth involved with the criminal or juvenile justice system or Person In Need of Supervision (PINS) system; c. Youth with a history of severe sexual offenses and/or extraordinary sexually acting out behaviors; and d. Youth who exhibit trauma-related behavior in conjunction with substance abuse, cruelty to animals, fire setting; and/or other severe behavioral problems. ||||YOUTH WITH SEVERE EMOTIONAL, DEVELOPMENTAL DISABILITIES - Negotiated Acquisition - Judgment required in evaluating proposals - PIN# 06815N0003 - Due 11-24-14 at 2:00 P.M.  The Administration for Children Services is seeking appropriately qualified vendors to provide Specialized Residential Care Services to youth with complex diagnoses that present with exceptional and severe emotional, developmental and behavioral disabilities.  The target population includes children with exceptional and severe emotional, developmental and behavioral disabilities.  Male and female youth in this specialized population include one or more of the following:  a. Youth with a history of serious developmental disability, psychiatric problems, multiple psychiatric hospitalizations and/or who require multiple medications; b. Youth involved with the criminal or juvenile justice system or Person In Need of Supervision (PINS) system; c. Youth with a history of severe sexual offenses and/or extraordinary sexually acting out behaviors; and d. Youth who exhibit trauma-related behavior in conjunction with substance abuse, cruelty to animals, fire setting; and/or other severe behavioral problems. 
20141103005|2014-11-10 00:00:00|2014-11-10 00:00:00|068|Administration for Children's Services|Administrative Contracts|1|Solicitation|2|Goods and Services|MESSENGER/COURIER SERVICE|1|Competitive Sealed Bids|6|Procurement|||06813ADM0008|2014-12-05 15:00:00|150 Williams Street, 9th Floor, New York, NY 10038|Michael Wright|2123413528|michael.wright@acs.nyc.gov|150 William Street, 9th Floor, New York, NY 10038||someuser|5511234567|20141103005|||This procurement is subject to participation goals for MBEs and/or WBEs which are required by Local Law 129 of 2005.

Optional Pre-bid Conference Date:  Friday, 11/21/2014 AT 10:00 AM at 150 William Street, Room 8B1, New York, NY 10038

Bids forms and specifications may be obtained, free of charge, from the ACS Website, any time before the bid due date (recommended method).  You must register at the ACS Website to obtain a copy of the bid.  Copy the link into your browser to go to the appropriate page http://nyc.gov/html/acs/html/business/business.shtml.  

In the event that you are unable to download this bid, a bid package may be requested via e-mail.  Send all e-mail requests to Michael.Wright@acs.nyc.gov and hazel.harber@acs.nyc.gov.  Please type the PIN above and type of service into the subject line. Also, type the name of the company, complete address, Contact Name, Phone and Fax numbes into the body of the e-mail.  If all else fails, you may call (212) 341-3528 or (212) 676-8811 to make arrangements to pick up a bid package in person. 

Bid pick up procedure vendors will need to provide the following information when picking up bids:Company Name, mailing address, primary contact person, E-Mail address  and  phone number of primary contract person.

E-PIN # 06813B0001|||MESSENGER/COURIER SERVICE - Competitive Sealed Bids - PIN# 06813ADM0008 - Due 12-5-14 at 3:00 P.M. This procurement is subject to participation goals for MBEs and/or WBEs which are required by Local Law 129 of 2005.  Optional Pre-bid Conference Date:  Friday, 11/21/2014 AT 10:00 AM at 150 William Street, Room 8B1, New York, NY 10038  Bids forms and specifications may be obtained, free of charge, from the ACS Website, any time before the bid due date (recommended method).  You must register at the ACS Website to obtain a copy of the bid.  Copy the link into your browser to go to the appropriate page http://nyc.gov/html/acs/html/business/business.shtml.    In the event that you are unable to download this bid, a bid package may be requested via e-mail.  Send all e-mail requests to Michael.Wright@acs.nyc.gov and hazel.harber@acs.nyc.gov.  Please type the PIN above and type of service into the subject line. Also, type the name of the company, complete address, Contact Name, Phone and Fax numbes into the body of the e-mail.  If all else fails, you may call (212) 341-3528 or (212) 676-8811 to make arrangements to pick up a bid package in person.   Bid pick up procedure vendors will need to provide the following information when picking up bids:Company Name, mailing address, primary contact person, E-Mail address  and  phone number of primary contract person.  E-PIN # 06813B0001
20141031010|2014-11-05 00:00:00|2014-11-12 00:00:00|125|Aging|Contract Procurement and Support Services|4|Intent to Award|7|Services (other than human services)|AGE-FRIENDLY NYC INITIATIVE|5|Negotiated Acquisition|6|Procurement|3|Available only from a single source|12515N0001|2014-11-13 10:00:00|2 Lafayette Street, Room 400, New York, NY 10007|Betty Lee|2124421112|blee@aging.nyc.gov|2 Lafayette Street, Room 400, New York, NY 10007||someuser|5511234567|20141031010|2124420994|This notice is for informational purpose only. The Department for the Aging (DFTA) seeks to improve the independence, dignity and quality of life of New York’s older adults through advocacy, education, and coordination of delivery of services. In conjunction with partners, the Age-Friendly NYC initiative was launched in 2007 with a comprehensive assessment of the assets and challenges older New Yorkers face. This initiative successfully integrates age-friendliness into policies, practices, and programs throughout NYC. Age-Friendly NYC builds on the work of the World Health Organization’s Global Age-friendly Cities initiative, which engaged older adults and others in 35 cities around the world in identifying the core components and features of an age-friendly city. DFTA intends to enter into a two year contract, including an option to renew, with The New York Academy of Medicine (NYAM) to expand on the Age-Friendly NYC initiative.||||AGE-FRIENDLY NYC INITIATIVE - Negotiated Acquisition - Available only from a single source - PIN# 12515N0001 - Due 11-13-14 at 10:00 A.M.  This notice is for informational purpose only. The Department for the Aging (DFTA) seeks to improve the independence, dignity and quality of life of New York’s older adults through advocacy, education, and coordination of delivery of services. In conjunction with partners, the Age-Friendly NYC initiative was launched in 2007 with a comprehensive assessment of the assets and challenges older New Yorkers face. This initiative successfully integrates age-friendliness into policies, practices, and programs throughout NYC. Age-Friendly NYC builds on the work of the World Health Organization’s Global Age-friendly Cities initiative, which engaged older adults and others in 35 cities around the world in identifying the core components and features of an age-friendly city. DFTA intends to enter into a two year contract, including an option to renew, with The New York Academy of Medicine (NYAM) to expand on the Age-Friendly NYC initiative.
